epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.779,2.54303,2.26928,0.70925,3.14598,2.9378,0.27665,0.38889,0.15326,0.03426,0.45719,0.66667,0.56011,0.17793,3.26534,2.90316,0.7306,3.64458,5.35828,0.00034,0.00034,0.00034
2,79.4239,2.07538,2.03217,0.70402,2.00628,2.70005,0.47367,0.55556,0.49605,0.15516,0.67469,0.46183,0.5935,0.20976,2.6855,2.93899,0.65547,2.92522,5.2255,0.00069307,0.00069307,0.00069307
3,101.049,1.86592,1.97328,0.67999,1.6846,2.52336,0.11496,0.05556,0.01296,0.00372,0.62009,0.44444,0.52522,0.20081,4.34876,2.96941,0.68357,2.75979,4.66109,0.00103901,0.00103901,0.00103901
4,119.419,1.85327,1.90816,0.67954,1.58165,2.36787,0.40116,0.22222,0.1185,0.03023,0.4256,0.33333,0.25577,0.08889,3.75944,2.90587,0.66185,2.5621,4.51945,0.00137783,0.00137783,0.00137783
5,139.16,1.93524,1.91099,0.65238,1.56734,2.44671,0.52177,0.5,0.34298,0.0758,0.70957,0.54363,0.53877,0.2082,3.47259,2.827,0.67349,2.60697,4.53752,0.00170951,0.00170951,0.00170951
6,159.834,1.73126,1.59891,0.63791,1.35548,2.25729,0.18787,0.33333,0.12869,0.02436,0.41287,0.72222,0.52512,0.2319,4.089,2.64977,0.54973,4.15445,5.33473,0.001901,0.001901,0.001901
7,185.568,1.63829,1.59604,0.64751,1.46249,2.17903,0.14236,0.27778,0.05619,0.01026,0.40864,0.66667,0.46869,0.24686,4.26557,2.31473,0.68327,3.56317,4.36986,0.0018812,0.0018812,0.0018812
8,214.324,1.55441,1.62032,0.64076,1.31832,2.16286,0.37707,0.38889,0.23947,0.06667,0.64002,0.59339,0.65585,0.36629,3.62733,2.02636,0.72332,2.51287,4.1493,0.0018614,0.0018614,0.0018614
9,234.657,1.67826,1.75056,0.61145,1.36577,2.17445,0.61868,0.22222,0.19734,0.04625,0.34138,0.72222,0.39674,0.14363,4.0347,2.63025,0.57861,2.42872,4.6118,0.0018416,0.0018416,0.0018416
10,261.358,1.52686,1.27299,0.63618,1.26351,1.99614,0.19461,0.33333,0.11891,0.02061,0.44181,0.72222,0.51886,0.16733,3.9925,2.55703,0.56522,2.52129,4.40151,0.0018218,0.0018218,0.0018218
11,281.786,1.49632,1.41631,0.6013,1.23598,2.11659,0.5371,0.77369,0.60477,0.24446,0.49893,0.72222,0.60741,0.20801,2.37551,2.30303,0.43112,1.5326,3.48816,0.001802,0.001802,0.001802
12,303.602,1.55307,1.3271,0.59257,1.24633,2.2113,0.78289,0.60159,0.67749,0.33033,0.78289,0.60159,0.74637,0.35065,2.2243,2.09639,0.42418,1.4008,3.39424,0.0017822,0.0017822,0.0017822
13,325.874,1.5318,1.147,0.60603,1.33682,2.14267,0.6392,0.61111,0.62402,0.34089,0.47702,0.4566,0.53048,0.18159,2.17735,2.313,0.43006,1.55623,3.34389,0.0017624,0.0017624,0.0017624
14,347.81,1.50234,1.28525,0.61658,1.21808,2.12883,0.79906,0.663,0.66579,0.31279,0.86697,0.66667,0.73263,0.44656,2.33286,1.56868,0.52609,1.53568,3.41794,0.0017426,0.0017426,0.0017426
15,368.569,1.39529,1.06891,0.59378,1.14185,1.9891,0.69887,0.64549,0.63527,0.28978,0.6797,0.77778,0.77932,0.50607,2.35592,1.40087,0.55972,1.43521,3.2944,0.0017228,0.0017228,0.0017228
16,388.959,1.39372,0.99238,0.61364,1.17739,1.95881,0.73885,0.72222,0.70505,0.27658,0.73885,0.72222,0.75433,0.43905,2.40867,1.58524,0.52422,1.62555,3.12881,0.001703,0.001703,0.001703
17,409.579,1.3439,1.02148,0.56606,1.09726,1.93316,0.7813,0.59625,0.63773,0.25199,0.74557,0.66667,0.7628,0.36356,2.35719,1.9656,0.50059,1.71408,2.89969,0.0016832,0.0016832,0.0016832
18,435.503,1.44742,0.99715,0.57287,1.15223,2.09916,0.91255,0.66667,0.69185,0.37153,0.77366,0.61111,0.64025,0.34211,2.00795,2.17416,0.48807,1.68297,2.79251,0.0016634,0.0016634,0.0016634
